Cidade,Código IBGE,2005,2007,2009,2011,2013
Alta Floresta d'Oeste,1100015,0.3,0.0,-0.3,-0.6,-0.1
Ariquemes,1100023,0.3,-0.3,-0.2,0.1,0.2
Cabixi,1100031,0.6,0.0,-0.5,0.1,0.1
Cacoal,1100049,0.4,0.0,-0.1,0.2,0.5
Cerejeiras,1100056,0.4,0.2,0.0,-0.3,-0.4
Colorado do Oeste,1100064,0.8,0.8,0.2,-0.1,-0.1
Corumbiara,1100072,0.1,0.3,0.7,0.1,0.3
Costa Marques,1100080,-0.1,-0.1,-0.6,-0.4,-1.4
Espigão d'Oeste,1100098,0.5,0.1,0.7,0.3,0.9
Guajará-Mirim,1100106,0.1,0.0,-0.4,-0.3,-0.5
Jaru,1100114,-0.3,-0.1,0.2,0.1,-0.3
Ji-Paraná,1100122,0.2,-0.2,-0.4,-0.2,-0.1
Machadinho d'Oeste,1100130,-0.5,-0.4,-0.1,-0.5,-0.2
Nova Brasilândia d'Oeste,1100148,0.3,0.1,0.1,0.2,1.1
Ouro Preto do Oeste,1100155,-0.5,-0.2,-0.2,-0.2,0.2
Pimenta Bueno,1100189,0.2,0.0,0.1,0.1,0.1
Porto Velho,1100205,0.0,-0.3,-0.4,-0.8,-0.8
Presidente Médici,1100254,0.4,0.3,0.5,-0.1,0.6
Rio Crespo,1100262,0.2,-0.3,-0.8,-0.9,-0.5
Rolim de Moura,1100288,-0.1,-0.3,-0.3,-0.8,-0.1
Santa Luzia d'Oeste,1100296,0.2,-0.2,0.5,0.0,0.6
Vilhena,1100304,0.4,0.0,-0.1,0.4,0.1
São Miguel do Guaporé,1100320,0.5,0.4,-0.3,0.2,0.2
Nova Mamoré,1100338,-0.4,-0.5,-0.6,-0.8,-0.1
Alvorada d'Oeste,1100346,0.2,0.0,0.0,-0.2,-0.3
Alto Alegre dos Parecis,1100379,0.3,-0.9,-0.2,-0.3,0.1
Alto Paraíso,1100403,-0.2,-0.6,-0.5,-0.2,-0.1
Buritis,1100452,-0.2,-0.5,-0.3,-0.2,-0.2
Novo Horizonte do Oeste,1100502,-0.1,0.2,-0.2,-0.4,0.3
Cacaulândia,1100601,0.2,0.2,0.2,0.0,-0.2
Campo Novo de Rondônia,1100700,-0.4,-0.4,-0.1,-0.2,-0.2
Candeias do Jamari,1100809,-0.3,-0.6,-1.2,-0.9,-0.9
Castanheiras,1100908,0.6,0.3,-0.1,-0.2,
Chupinguaia,1100924,0.4,-0.2,0.2,0.0,-0.3
Cujubim,1100940,-0.5,-0.6,-0.4,-0.6,-0.8
Governador Jorge Teixeira,1101005,-0.4,-0.5,-0.2,-0.5,-0.7
Itapuã do Oeste,1101104,-0.5,-0.4,-0.4,-0.6,-0.6
Ministro Andreazza,1101203,0.5,-0.5,-0.1,0.0,0.8
Mirante da Serra,1101302,-0.1,-0.1,-0.2,-0.2,0.5
Monte Negro,1101401,0.2,0.2,0.1,-0.1,0.2
Nova União,1101435,-0.4,-0.2,-0.3,0.1,-0.2
Parecis,1101450,0.3,-0.2,-0.2,-0.4,-0.3
Pimenteiras do Oeste,1101468,0.0,0.3,-0.3,-0.6,-0.3
Primavera de Rondônia,1101476,0.2,0.0,0.3,0.3,-0.2
São Felipe d'Oeste,1101484,-0.2,0.0,0.1,-0.5,0.0
São Francisco do Guaporé,1101492,-0.2,-0.1,-0.3,-0.6,-0.2
Seringueiras,1101500,-0.1,-0.2,0.0,-0.2,-0.2
Teixeirópolis,1101559,0.2,-0.1,-0.7,-0.1,0.2
Theobroma,1101609,-0.1,0.0,0.0,0.5,-0.1
Urupá,1101708,-0.4,0.1,-0.2,-0.6,0.4
Vale do Anari,1101757,-0.1,0.0,-0.2,-1.4,0.4
Vale do Paraíso,1101807,0.2,0.2,-0.2,0.0,0.1
Acrelândia,1200013,0.3,0.3,0.0,-0.1,0.2
Assis Brasil,1200054,-0.1,-0.1,0.5,-0.2,0.2
Brasiléia,1200104,-0.1,0.4,1.1,1.1,1.3
